ye,ma,co,zcode,brd,type,brand,model,org,loc,cla,home,frm,qu,cy,hp,we,pl,do,le,wi,he,li1,li2,li3,li,sp,ac,pr,princ,eurpr,exppr,avexr,avdexr,avcpr,avppr,avdcpr,avdppr,xexr,tax,pop,ngdp,rgdp,engdp,ergdp,engdpc,ergdpc,inc,qu_tot,s
70,1,15,14,2,audi 100/200,audi,100/200,2,4,4,0,26,2700,1760.0,59.0,1050,5.0,2.0,459.0,173.0,142.0,8.899999618530273,8.899999618530273,8.899999618530273,8.899999618530273,156.0,13.5,149875.0,1.1302050352096558,3018.0029296875,41135.1796875,3.64347505569458,49.66032409667969,47.084556579589844,48.170536041259766,31.504833221435547,,13.629934310913086,0.25,9660000,1280999948288,3940724506624.0,25795239936,79353577472.0,2670.314697265625,8214.65625,20363.7252,239013,0.011296456678088639
70,1,26,35,4,citroen 2 CV 6 - 2 CV 4,citroen,2CV6,1,3,1,0,4,3500,435.0,17.5,560,4.0,5.0,383.0,148.0,160.0,5.5,5.5,5.5,5.5,102.0,,59937.5,0.45198774337768555,1206.949462890625,10791.40234375,5.554190158843994,49.66032409667969,21.62464141845703,,31.504833221435547,,8.941056251525879,0.25,9660000,1280999948288,3940724506624.0,25795239936,79353577472.0,2670.314697265625,8214.65625,20363.7252,239013,0.014643554953077866
70,1,36,36,4,citroen dyane,citroen,dyane,1,3,1,0,4,6700,435.0,19.0,590,4.0,5.0,387.0,150.0,154.0,5.5,5.5,5.5,5.5,104.0,,64937.5,0.48969265818595886,1307.6334228515625,11691.623046875,5.554190158843994,49.66032409667969,21.62464141845703,,31.504833221435547,,8.941056251525879,0.25,9660000,1280999948288,3940724506624.0,25795239936,79353577472.0,2670.314697265625,8214.65625,20363.7252,239013,0.028031948053034772
70,1,64,67,7,fiat 128,fiat,128,3,5,1,0,4,7800,1116.0,40.5,785,5.0,2.0,385.0,159.0,142.0,8.0,8.0,8.0,8.0,135.0,19.100000381469727,87375.0,0.6588934659957886,1759.452880859375,139.5761260986328,626.0025024414062,49.66032409667969,10.65000057220459,,31.504833221435547,,0.07932927459478378,0.25,9660000,1280999948288,3940724506624.0,25795239936,79353577472.0,2670.314697265625,8214.65625,20363.7252,239013,0.03263420818114496
70,1,71,80,8,ford escort,ford,escort,2,4,2,0,5,9500,1098.0,29.5,825,5.0,2.0,398.0,157.0,138.0,8.199999809265137,8.199999809265137,8.199999809265137,8.199999809265137,125.0,28.399999618530273,81125.0,0.6117623448371887,1633.597900390625,22265.830078125,3.64347505569458,49.66032409667969,47.084556579589844,48.170536041259766,31.504833221435547,,13.629934310913086,0.25,9660000,1280999948288,3940724506624.0,25795239936,79353577472.0,2670.314697265625,8214.65625,20363.7252,239013,0.039746792015497065
70,1,134,159,16,mercedes 200-300,mercedes,200,2,4,5,0,12,6660,1988.0,70.0,1330,5.0,4.0,468.5,177.0,144.0,10.899999618530273,10.899999618530273,10.899999618530273,10.899999618530273,160.0,15.199999809265137,210000.0,1.5836066007614136,4228.72802734375,57637.28125,3.64347505569458,49.66032409667969,47.084556579589844,48.170536041259766,31.504833221435547,,13.629934310913086,0.25,9660000,1280999948288,3940724506624.0,25795239936,79353577472.0,2670.314697265625,8214.65625,20363.7252,239013,0.027864593139285312
70,1,165,197,19,opel kadett,opel,kadet,2,4,2,0,15,10500,1078.0,33.0,745,5.0,2.0,410.5,157.0,140.0,7.5,8.800000190734863,10.0,8.766666412353516,125.0,26.0,83625.0,0.6306148171424866,1683.9398193359375,22951.98828125,3.64347505569458,49.66032409667969,47.084556579589844,48.170536041259766,31.504833221435547,,13.629934310913086,0.25,9660000,1280999948288,3940724506624.0,25795239936,79353577472.0,2670.314697265625,8214.65625,20363.7252,239013,0.043930664859233595
70,1,172,194,19,opel rekord,opel,record,2,4,4,0,15,11000,1492.0,29.5,1025,5.0,2.0,455.0,175.0,146.0,9.0,10.5,12.0,10.5,143.0,22.0,112375.0,0.8474180698394775,2262.872802734375,30842.806640625,3.64347505569458,49.66032409667969,47.084556579589844,48.170536041259766,31.504833221435547,,13.629934310913086,0.25,9660000,1280999948288,3940724506624.0,25795239936,79353577472.0,2670.314697265625,8214.65625,20363.7252,239013,0.04602260128110187
70,1,186,202,20,peugeot 504,peugeot,504,1,3,4,0,16,5000,1796.0,56.0,1200,6.0,4.0,449.0,169.0,146.0,11.600000381469727,11.600000381469727,11.600000381469727,11.600000381469727,156.0,14.800000190734863,153000.0,1.1537705659866333,3080.930419921875,27546.76953125,5.554190158843994,49.66032409667969,21.62464141845703,,31.504833221435547,,8.941056251525879,0.25,9660000,1280999948288,3940724506624.0,25795239936,79353577472.0,2670.314697265625,8214.65625,20363.7252,239013,0.020919364218682665
70,1,187,207,20,peugeot 304,peugeot,304,1,3,2,0,16,2450,1288.0,43.0,915,5.0,4.0,414.0,157.0,141.0,10.100000381469727,10.100000381469727,10.100000381469727,10.100000381469727,150.0,15.600000381469727,122625.0,0.9247131943702698,2469.275146484375,22077.92578125,5.554190158843994,49.66032409667969,21.62464141845703,,31.504833221435547,,8.941056251525879,0.25,9660000,1280999948288,3940724506624.0,25795239936,79353577472.0,2670.314697265625,8214.65625,20363.7252,239013,0.010250488467154506
70,1,196,227,22,renault 4,renault,4,1,3,1,0,18,8600,845.0,20.0,650,4.0,4.0,367.0,148.5,155.0,5.5,6.0,6.0,5.833333492279053,110.0,,62375.0,0.470368891954422,1256.0328369140625,11230.259765625,5.554190158843994,49.66032409667969,21.62464141845703,,31.504833221435547,,8.941056251525879,0.25,9660000,1280999948288,3940724506624.0,25795239936,79353577472.0,2670.314697265625,8214.65625,20363.7252,239013,0.035981306456134184
70,1,212,337,22,renault 16,renault,16,1,3,2,0,18,7150,1470.0,40.5,980,5.0,4.0,423.0,165.0,145.5,8.5,10.0,11.5,10.0,142.0,20.0,112375.0,0.8474180698394775,2262.872802734375,20232.47265625,5.554190158843994,49.66032409667969,21.62464141845703,,31.504833221435547,,8.941056251525879,0.25,9660000,1280999948288,3940724506624.0,25795239936,79353577472.0,2670.314697265625,8214.65625,20363.7252,239013,0.029914690832716213
70,1,213,338,22,renault 6,renault,6,1,3,1,0,18,8000,845.0,25.0,750,5.0,5.0,385.0,154.0,150.0,7.0,7.0,7.0,7.0,117.0,,81125.0,0.6117623448371887,1633.597900390625,14606.08984375,5.554190158843994,49.66032409667969,21.62464141845703,,31.504833221435547,,8.941056251525879,0.25,9660000,1280999948288,3940724506624.0,25795239936,79353577472.0,2670.314697265625,8214.65625,20363.7252,239013,0.03347098274989226
70,1,214,319,22,renault 12,renault,12,1,3,1,0,18,4450,1289.0,39.5,880,5.0,4.0,434.0,163.5,143.5,8.25,8.25,8.25,8.25,140.0,17.0,99875.0,0.7531557679176331,2011.162841796875,17981.919921875,5.554190158843994,49.66032409667969,21.62464141845703,,31.504833221435547,,8.941056251525879,0.25,9660000,1280999948288,3940724506624.0,25795239936,79353577472.0,2670.314697265625,8214.65625,20363.7252,239013,0.018618234154627572
70,1,217,242,36,rover mini,rover,mini,7,12,1,0,19,7350,848.0,25.5,634,4.0,2.0,305.0,141.0,135.0,7.5,7.5,7.5,7.5,118.0,26.0,74875.0,0.5646311640739441,1507.742919921875,179389.6875,0.4173874258995056,49.66032409667969,14.706750869750977,15.810968399047852,31.504833221435547,,118.97896575927734,0.25,9660000,1280999948288,3940724506624.0,25795239936,79353577472.0,2670.314697265625,8214.65625,20363.7252,239013,0.030751465401463517
70,1,269,284,29,toyota corolla,toyota,corolla,4,6,2,0,25,9350,1077.0,50.0,720,5.0,4.0,385.5,148.5,138.0,8.100000381469727,8.100000381469727,8.100000381469727,8.100000381469727,145.0,,87375.0,0.6588934659957886,1759.452880859375,244.10174560546875,357.94500732421875,49.66032409667969,34.552879333496094,53.590145111083984,31.504833221435547,,0.13873730599880219,0.25,9660000,1280999948288,3940724506624.0,25795239936,79353577472.0,2670.314697265625,8214.65625,20363.7252,239013,0.03911921108893659
