price
  4.091236471208,
  3.287894695985,
  2.753477443138,
  3.956031244288,
  3.360133251053,
  2.976714714848,
  2.684056414027,
  3.417923789580,
  2.535551130001,
  2.611476539599,
  4.783201449959,
  4.720434490549,
  2.992010446823,
  2.934774400774,
  4.707277151032,
  3.528157300444,
  4.250588828147,
  2.628014808390,
  3.010103976247,
  2.851144623792,
  2.817423350731,
  2.653335449115,
  4.505454602226,
  5.072343173754,
  4.711029513040,
  3.916872303609,
  4.277144892430,
  2.811696882489,
  3.888898152523,
  3.061077540094,
  3.802341063763,
  3.291251940341,
  3.645065396564,
  5.228462027952,
  4.347068269733,
  3.733675228836,
  3.587489514260,
  4.485564865350,
  4.141629482586,
  3.533647413472,
  4.443329004455,
  3.858988529180,
  4.746080405292,
  5.161931499508,
  4.441665967765,
  4.262247470428,
  4.000118980161,
  3.576578769828,
  4.346154619547,
  4.697323330967,
  4.392169618496,
  4.175729481359,
  4.055251067469,
  3.840393864186,
  4.862269597293,
  3.655965219232,
  5.568022107283,
  4.511560635219,
  3.425835180947,
  2.710900368133,
  4.118499497174,
  2.727058082662,
  2.751004844863,
  3.772617829636,
  2.805497709209,
  2.749455825344,
  2.968275992015,
  2.897907703106,
  5.403601941120,
  3.841913993600,
  3.408593448216,
  3.664727212805,
  3.901879264942,
  2.824713022946,
  2.429876653140,
  2.639658323458,
  2.516371461455,
  4.544533138975,
  4.383805941641,
  4.777159713725,
  4.286430982841,
  4.341604463155,
  4.032845256516,
  4.133395260144,
  5.154125629621,
  5.545589449228,
  3.883951788983,
  3.219059450759,
  4.392178334500,
  3.751568503139,
  5.039664725948,
  4.160538910758,
  4.394064839610,
  3.996833877143,
  5.203332896278,
  4.834277939217,
  4.028424350594,
  3.700007796304,
  4.151395087779,
  4.030253815399,
  4.444287670900,
  4.880957213994,
  4.216834449831,
  4.197586827506,
  5.021523061715,
  4.918508019791,
  4.000830650616,
  4.532787356244,
  4.430473905468,
  3.253558865297,
  5.789748078479,
  3.706391675440,
  4.184798987727,
  3.965272224848,
  3.793399462013,
  4.477251748661,
  3.896765753319,
  3.480697532438,
  3.666653596006,
  5.439926055550,
  3.193752382306,
  4.897195901522,
  4.595760808402,
  4.325904731903,
  4.387629533375,
  3.934833735389,
  3.577737068898,
  2.584448427700,
  6.086280435577,
  3.175301767401,
  3.250585395047,
